target bitrate,avg bitrate,13700k vaapi h264,13700k vaapi h265,13700k vaapi vp9,x264,svtav1 p6 10b tune0,svtav1 p6 10b tune0 vbr,nvenc av1 8bit,svtav1 p8 10b tune0,svtav1 p8 8b tune0,nvenc av1 10b,a770 vaapi h264,a770 vaapi hevc,a770 vaapi 10b hevc,a770 av1 qsv,a770 av1 10bit qsv
7000,6902275,,,,,,,,,,,,,32.16679653,,
7500,7393142,,,,,,,,,,,,,34.94773349,,
8000,7837782,,,,,,,,,,,,,37.52900264,,
8500,8321190,,,,,,,,,,,,,39.59830749,,
500,794372,,,,,,,,,,,,,,-101.5271553,
1000,1067529,,,,,,,,,,,,,,-72.10032626,
1500,1518353,,,,,,,,,,,,,,-43.17886493,
2000,2041156,,,,,,,,,,,,,,-24.24650279,
2500,2493878,,,,,,,,,,,,,,-11.08851576,
3000,2987187,,,,,,,,,,,,,,-0.81098309,
3500,3466196,,,,,,,,,,,,,,7.19084085,
4000,3949731,,,,,,,,,,,,,,13.26610245,
4500,4427608,,,,,,,,,,,,,,18.4190431,
5000,4890807,,,,,,,,,,,,,,22.86377803,
5500,5371717,,,,,,,,,,,,,,26.51257546,
6000,5839168,,,,,,,,,,,,,,29.72983883,
6500,6311661,,,,,,,,,,,,,,32.93693031,
7000,6767418,,,,,,,,,,,,,,35.4387629,
7500,7227665,,,,,,,,,,,,,,37.90416127,
8000,7720865,,,,,,,,,,,,,,40.0253817,
8500,8174761,,,,,,,,,,,,,,41.94742497,
500,792688,,,,,,,,,,,,,,,-101.575924
1000,1068794,,,,,,,,,,,,,,,-71.75385244
1500,1520388,,,,,,,,,,,,,,,-42.96936098
2000,2007045,,,,,,,,,,,,,,,-23.53153764
2500,2483769,,,,,,,,,,,,,,,-10.76551396
3000,2950048,,,,,,,,,,,,,,,-0.58257906
3500,3414790,,,,,,,,,,,,,,,6.74619848
4000,3895968,,,,,,,,,,,,,,,13.6094414
4500,4353479,,,,,,,,,,,,,,,18.62666618
5000,4817637,,,,,,,,,,,,,,,23.10286846
5500,5329725,,,,,,,,,,,,,,,27.03483974
6000,5865563,,,,,,,,,,,,,,,30.61496249
6500,6378367,,,,,,,,,,,,,,,33.73015559
7000,6887854,,,,,,,,,,,,,,,36.52707732
7500,7369932,,,,,,,,,,,,,,,38.75596996
8000,7879009,,,,,,,,,,,,,,,41.02848
8500,8368500,,,,,,,,,,,,,,,42.96069432
